Number;Tile;Obstacle;

1;Tile Straight(Clone);Obstacle 1(Clone);
2;Tile Straight(Clone);SmallObstacle 1(Clone);
3;Tile Right(Clone);Obstacle 3(Clone);
4;Tile Left(Clone);SmallObstacle 4(Clone);
5;Tile Right(Clone);Obstacle 15(Clone);
6;Tile Left(Clone);SmallObstacle 1(Clone);
7;goal;Obstacle 3(Clone);
8;;SmallObstacle Empty(Clone);
9;;SmallObstacle Empty(Clone);
10;;Obstacle 15(Clone);
11;;SmallObstacle Empty(Clone);
12;;Obstacle 5(Clone);
13;;SmallObstacle Empty(Clone);
14;;SmallObstacle 3(Clone);
15;;Obstacle 12(Clone);
