Number;Tile;Obstacle;

1;Tile Left(Clone);Obstacle 2(Clone);
2;Tile Straight(Clone);SmallObstacle 4(Clone);
3;Tile Right(Clone);SmallObstacle Empty(Clone);
4;Tile Straight(Clone);Obstacle 16(Clone);
5;Tile Left(Clone);SmallObstacle 3(Clone);
6;Tile Right(Clone);Obstacle 9(Clone);
7;goal;SmallObstacle Empty(Clone);
8;;Obstacle 7(Clone);
9;;SmallObstacle 3(Clone);
10;;Obstacle 2(Clone);
11;;SmallObstacle 3(Clone);
12;;SmallObstacle 2(Clone);
13;;Obstacle 9(Clone);
14;;SmallObstacle Empty(Clone);
15;;Obstacle 15(Clone);
