Number;Tile;Obstacle;

1;Tile Right(Clone);Obstacle 2(Clone);
2;Tile Left(Clone);SmallObstacle 3(Clone);
3;Tile Straight(Clone);Obstacle 13(Clone);
4;Tile Straight(Clone);SmallObstacle 3(Clone);
5;Tile Left(Clone);SmallObstacle Empty(Clone);
6;Tile Right(Clone);Obstacle 5(Clone);
7;goal;SmallObstacle Empty(Clone);
8;;Obstacle 8(Clone);
9;;SmallObstacle Empty(Clone);
10;;Obstacle 14(Clone);
11;;SmallObstacle 4(Clone);
12;;SmallObstacle Empty(Clone);
13;;Obstacle 2(Clone);
14;;SmallObstacle 2(Clone);
15;;Obstacle 11(Clone);
