Number;Tile;Obstacle;

1;Tile Left(Clone);Obstacle 7(Clone);
2;Tile Straight(Clone);SmallObstacle Empty(Clone);
3;Tile Right(Clone);SmallObstacle Empty(Clone);
4;Tile Left(Clone);Obstacle 16(Clone);
5;Tile Straight(Clone);SmallObstacle 1(Clone);
6;Tile Right(Clone);Obstacle 16(Clone);
7;goal;SmallObstacle Empty(Clone);
8;;Obstacle 6(Clone);
9;;SmallObstacle Empty(Clone);
10;;SmallObstacle Empty(Clone);
11;;Obstacle 8(Clone);
12;;SmallObstacle 1(Clone);
13;;Obstacle 11(Clone);
14;;SmallObstacle Empty(Clone);
15;;Obstacle 16(Clone);
