Number;Tile;Obstacle;

1;Tile Straight(Clone);Obstacle 7(Clone);
2;Tile Straight(Clone);SmallObstacle Empty(Clone);
3;Tile Right(Clone);Obstacle 11(Clone);
4;Tile Left(Clone);SmallObstacle 4(Clone);
5;Tile Left(Clone);Obstacle 9(Clone);
6;Tile Right(Clone);SmallObstacle 1(Clone);
7;goal;Obstacle 9(Clone);
8;;SmallObstacle Empty(Clone);
9;;SmallObstacle 4(Clone);
10;;Obstacle 2(Clone);
11;;SmallObstacle Empty(Clone);
12;;SmallObstacle Empty(Clone);
13;;Obstacle 9(Clone);
14;;SmallObstacle 1(Clone);
15;;Obstacle 16(Clone);
