Number;Tile;Obstacle;

1;Tile Left(Clone);Obstacle 2(Clone);
2;Tile Right(Clone);Obstacle 1(Clone);
3;Tile Straight(Clone);SmallObstacle Empty(Clone);
4;Tile Straight(Clone);SmallObstacle 2(Clone);
5;Tile Left(Clone);Obstacle 16(Clone);
6;Tile Right(Clone);SmallObstacle 2(Clone);
7;goal;Obstacle 13(Clone);
8;;SmallObstacle 3(Clone);
9;;Obstacle 9(Clone);
10;;SmallObstacle 2(Clone);
11;;Obstacle 9(Clone);
12;;SmallObstacle Empty(Clone);
13;;SmallObstacle Empty(Clone);
14;;Obstacle 16(Clone);
15;;SmallObstacle Empty(Clone);
