Number;Tile;Obstacle;

1;Tile Straight(Clone);Obstacle 8(Clone);
2;Tile Left(Clone);Obstacle 16(Clone);
3;Tile Straight(Clone);SmallObstacle Empty(Clone);
4;Tile Right(Clone);Obstacle 10(Clone);
5;Tile Left(Clone);SmallObstacle Empty(Clone);
6;Tile Right(Clone);SmallObstacle 1(Clone);
7;goal;Obstacle 9(Clone);
8;;SmallObstacle 3(Clone);
9;;Obstacle 2(Clone);
10;;SmallObstacle 4(Clone);
11;;Obstacle 1(Clone);
12;;SmallObstacle Empty(Clone);
13;;SmallObstacle 2(Clone);
14;;Obstacle 1(Clone);
15;;SmallObstacle 4(Clone);
