Number;Tile;Obstacle;

1;Tile Straight(Clone);Obstacle 16(Clone);
2;Tile Right(Clone);SmallObstacle Empty(Clone);
3;Tile Left(Clone);Obstacle 14(Clone);
4;Tile Right(Clone);SmallObstacle 1(Clone);
5;Tile Straight(Clone);Obstacle 2(Clone);
6;Tile Left(Clone);SmallObstacle Empty(Clone);
7;goal;SmallObstacle 1(Clone);
8;;Obstacle 9(Clone);
9;;SmallObstacle Empty(Clone);
10;;Obstacle 6(Clone);
11;;SmallObstacle 2(Clone);
12;;Obstacle 5(Clone);
13;;SmallObstacle Empty(Clone);
14;;SmallObstacle 1(Clone);
15;;Obstacle 13(Clone);
