Number;Tile;Obstacle;

1;Tile Straight(Clone);Obstacle 8(Clone);
2;Tile Right(Clone);Obstacle 11(Clone);
3;Tile Left(Clone);SmallObstacle Empty(Clone);
4;Tile Left(Clone);Obstacle 2(Clone);
5;Tile Straight(Clone);SmallObstacle Empty(Clone);
6;Tile Right(Clone);Obstacle 5(Clone);
7;goal;SmallObstacle 3(Clone);
8;;SmallObstacle Empty(Clone);
9;;Obstacle 14(Clone);
10;;SmallObstacle Empty(Clone);
11;;SmallObstacle 2(Clone);
12;;Obstacle 2(Clone);
13;;SmallObstacle Empty(Clone);
14;;Obstacle 8(Clone);
15;;SmallObstacle Empty(Clone);
