Number;Tile;Obstacle;

1;Tile Right(Clone);Obstacle 16(Clone);
2;Tile Left(Clone);Obstacle 10(Clone);
3;Tile Straight(Clone);SmallObstacle Empty(Clone);
4;Tile Right(Clone);Obstacle 13(Clone);
5;Tile Straight(Clone);SmallObstacle Empty(Clone);
6;Tile Left(Clone);SmallObstacle 1(Clone);
7;goal;Obstacle 9(Clone);
8;;SmallObstacle 2(Clone);
9;;Obstacle 16(Clone);
10;;SmallObstacle Empty(Clone);
11;;Obstacle 10(Clone);
12;;SmallObstacle 4(Clone);
13;;Obstacle 13(Clone);
14;;SmallObstacle 3(Clone);
15;;SmallObstacle 4(Clone);
