Number;Tile;Obstacle;

1;Tile Right(Clone);Obstacle 1(Clone);
2;Tile Straight(Clone);SmallObstacle 3(Clone);
3;Tile Left(Clone);Obstacle 16(Clone);
4;Tile Left(Clone);SmallObstacle 3(Clone);
5;Tile Straight(Clone);Obstacle 2(Clone);
6;Tile Right(Clone);SmallObstacle Empty(Clone);
7;goal;SmallObstacle Empty(Clone);
8;;Obstacle 2(Clone);
9;;SmallObstacle Empty(Clone);
10;;SmallObstacle 2(Clone);
11;;Obstacle 13(Clone);
12;;SmallObstacle 4(Clone);
13;;Obstacle 4(Clone);
14;;SmallObstacle Empty(Clone);
15;;Obstacle 2(Clone);
