Number;Tile;Obstacle;

1;Tile Left(Clone);Obstacle 13(Clone);
2;Tile Left(Clone);SmallObstacle 1(Clone);
3;Tile Right(Clone);SmallObstacle 2(Clone);
4;Tile Right(Clone);Obstacle 10(Clone);
5;Tile Straight(Clone);SmallObstacle 2(Clone);
6;Tile Straight(Clone);SmallObstacle 3(Clone);
7;goal;Obstacle 8(Clone);
8;;SmallObstacle Empty(Clone);
9;;Obstacle 16(Clone);
10;;SmallObstacle Empty(Clone);
11;;Obstacle 15(Clone);
12;;SmallObstacle Empty(Clone);
13;;Obstacle 15(Clone);
14;;SmallObstacle 2(Clone);
15;;Obstacle 9(Clone);
