Number;Tile;Obstacle;

1;Tile Right(Clone);Obstacle 15(Clone);
2;Tile Left(Clone);SmallObstacle Empty(Clone);
3;Tile Straight(Clone);Obstacle 16(Clone);
4;Tile Straight(Clone);SmallObstacle Empty(Clone);
5;Tile Left(Clone);SmallObstacle Empty(Clone);
6;Tile Right(Clone);Obstacle 16(Clone);
7;goal;SmallObstacle Empty(Clone);
8;;Obstacle 4(Clone);
9;;SmallObstacle 1(Clone);
10;;Obstacle 1(Clone);
11;;SmallObstacle 2(Clone);
12;;SmallObstacle 4(Clone);
13;;Obstacle 10(Clone);
14;;SmallObstacle Empty(Clone);
15;;Obstacle 3(Clone);
