Number;Tile;Obstacle;

1;Tile Straight(Clone);Obstacle 2(Clone);
2;Tile Straight(Clone);SmallObstacle Empty(Clone);
3;Tile Right(Clone);Obstacle 16(Clone);
4;Tile Right(Clone);SmallObstacle 1(Clone);
5;Tile Left(Clone);Obstacle 10(Clone);
6;Tile Left(Clone);SmallObstacle Empty(Clone);
7;goal;Obstacle 10(Clone);
8;;SmallObstacle 4(Clone);
9;;Obstacle 1(Clone);
10;;SmallObstacle 3(Clone);
11;;SmallObstacle Empty(Clone);
12;;Obstacle 8(Clone);
13;;SmallObstacle 2(Clone);
14;;SmallObstacle 1(Clone);
15;;Obstacle 7(Clone);
