Number;Tile;Obstacle;

1;Tile Straight(Clone);Obstacle 7(Clone);
2;Tile Straight(Clone);SmallObstacle Empty(Clone);
3;Tile Left(Clone);Obstacle 2(Clone);
4;Tile Right(Clone);SmallObstacle Empty(Clone);
5;Tile Right(Clone);Obstacle 15(Clone);
6;Tile Left(Clone);SmallObstacle Empty(Clone);
7;goal;SmallObstacle Empty(Clone);
8;;Obstacle 4(Clone);
9;;SmallObstacle Empty(Clone);
10;;Obstacle 8(Clone);
11;;SmallObstacle Empty(Clone);
12;;Obstacle 2(Clone);
13;;SmallObstacle Empty(Clone);
14;;SmallObstacle Empty(Clone);
15;;Obstacle 2(Clone);
