Number;Tile;Obstacle;

1;Tile Right(Clone);Obstacle 16(Clone);
2;Tile Straight(Clone);SmallObstacle Empty(Clone);
3;Tile Straight(Clone);Obstacle 12(Clone);
4;Tile Right(Clone);SmallObstacle Empty(Clone);
5;Tile Left(Clone);Obstacle 7(Clone);
6;Tile Left(Clone);SmallObstacle 2(Clone);
7;goal;Obstacle 9(Clone);
8;;SmallObstacle 1(Clone);
9;;Obstacle 10(Clone);
10;;SmallObstacle 1(Clone);
11;;SmallObstacle Empty(Clone);
12;;Obstacle 16(Clone);
13;;SmallObstacle Empty(Clone);
14;;SmallObstacle Empty(Clone);
15;;Obstacle 16(Clone);
