Number;Tile;Obstacle;

1;Tile Straight(Clone);Obstacle 6(Clone);
2;Tile Left(Clone);SmallObstacle 2(Clone);
3;Tile Left(Clone);Obstacle 11(Clone);
4;Tile Straight(Clone);SmallObstacle 1(Clone);
5;Tile Right(Clone);SmallObstacle 4(Clone);
6;Tile Right(Clone);Obstacle 1(Clone);
7;goal;SmallObstacle 4(Clone);
8;;SmallObstacle Empty(Clone);
9;;Obstacle 5(Clone);
10;;SmallObstacle Empty(Clone);
11;;Obstacle 16(Clone);
12;;SmallObstacle Empty(Clone);
13;;Obstacle 13(Clone);
14;;SmallObstacle Empty(Clone);
15;;Obstacle 15(Clone);
