Number;Tile;Obstacle;

1;Tile Left(Clone);Obstacle 2(Clone);
2;Tile Right(Clone);SmallObstacle 2(Clone);
3;Tile Straight(Clone);SmallObstacle 3(Clone);
4;Tile Straight(Clone);Obstacle 7(Clone);
5;Tile Left(Clone);SmallObstacle 3(Clone);
6;Tile Right(Clone);Obstacle 9(Clone);
7;goal;SmallObstacle 3(Clone);
8;;Obstacle 8(Clone);
9;;SmallObstacle 2(Clone);
10;;Obstacle 8(Clone);
11;;SmallObstacle Empty(Clone);
12;;SmallObstacle 3(Clone);
13;;Obstacle 5(Clone);
14;;SmallObstacle Empty(Clone);
15;;Obstacle 15(Clone);
