Number;Tile;Obstacle;

1;Tile Right(Clone);Obstacle 8(Clone);
2;Tile Straight(Clone);Obstacle 11(Clone);
3;Tile Left(Clone);SmallObstacle 3(Clone);
4;Tile Left(Clone);Obstacle 5(Clone);
5;Tile Right(Clone);SmallObstacle Empty(Clone);
6;Tile Straight(Clone);Obstacle 2(Clone);
7;goal;SmallObstacle 4(Clone);
8;;SmallObstacle 1(Clone);
9;;Obstacle 9(Clone);
10;;SmallObstacle 3(Clone);
11;;SmallObstacle Empty(Clone);
12;;Obstacle 16(Clone);
13;;SmallObstacle Empty(Clone);
14;;Obstacle 11(Clone);
15;;SmallObstacle Empty(Clone);
