Number;Tile;Obstacle;

1;Tile Straight(Clone);Obstacle 4(Clone);
2;Tile Left(Clone);Obstacle 15(Clone);
3;Tile Right(Clone);SmallObstacle Empty(Clone);
4;Tile Left(Clone);Obstacle 10(Clone);
5;Tile Right(Clone);SmallObstacle Empty(Clone);
6;Tile Straight(Clone);SmallObstacle Empty(Clone);
7;goal;Obstacle 16(Clone);
8;;SmallObstacle 4(Clone);
9;;Obstacle 1(Clone);
10;;SmallObstacle 3(Clone);
11;;SmallObstacle 1(Clone);
12;;Obstacle 2(Clone);
13;;SmallObstacle 1(Clone);
14;;Obstacle 9(Clone);
15;;SmallObstacle Empty(Clone);
