Number;Tile;Obstacle;

1;Tile Right(Clone);Obstacle 2(Clone);
2;Tile Straight(Clone);SmallObstacle 2(Clone);
3;Tile Left(Clone);Obstacle 7(Clone);
4;Tile Right(Clone);SmallObstacle 2(Clone);
5;Tile Left(Clone);Obstacle 6(Clone);
6;Tile Straight(Clone);SmallObstacle 1(Clone);
7;goal;SmallObstacle 4(Clone);
8;;Obstacle 9(Clone);
9;;SmallObstacle Empty(Clone);
10;;Obstacle 4(Clone);
11;;SmallObstacle Empty(Clone);
12;;SmallObstacle 3(Clone);
13;;Obstacle 12(Clone);
14;;SmallObstacle Empty(Clone);
15;;Obstacle 2(Clone);
