Number;Tile;Obstacle;

1;Tile Right(Clone);Obstacle 10(Clone);
2;Tile Straight(Clone);SmallObstacle 2(Clone);
3;Tile Right(Clone);Obstacle 2(Clone);
4;Tile Straight(Clone);SmallObstacle Empty(Clone);
5;Tile Left(Clone);Obstacle 9(Clone);
6;Tile Left(Clone);SmallObstacle 2(Clone);
7;goal;Obstacle 4(Clone);
8;;SmallObstacle Empty(Clone);
9;;Obstacle 9(Clone);
10;;SmallObstacle Empty(Clone);
11;;SmallObstacle 2(Clone);
12;;Obstacle 7(Clone);
13;;SmallObstacle Empty(Clone);
14;;SmallObstacle 1(Clone);
15;;Obstacle 16(Clone);
